trip_id,route_id,route_short_name,max_advance_min,max_delay_min,cap
20251121-25-25090,08251125-25,25,5,10,53
20251121-47-47095,08251125-47,47,5,10,53
20251121-12-12241,08251125-12,12,5,10,53
20251121-30-30130,08251125-30,30,5,10,81
20251121-GT-3860,08251125-GT,KI,5,10,1944
20251121-LW-1711,08251125-LW,LW,5,10,1944
20251121-12-12313,08251125-12,12,5,10,53
20251121-17-17180,08251125-17,17,5,10,53
20251121-LW-1961,08251125-LW,LW,5,10,1944
20251121-41-41290,08251125-41,41,5,10,53
20251121-12-12311,08251125-12,12,5,10,53
20251121-17-17230,08251125-17,17,5,10,53
20251121-LW-1016,08251125-LW,LW,5,10,1944
20251121-12-12361,08251125-12,12,5,10,53
20251121-25-25532,08251125-25,25,5,10,81
20251121-56-56470,08251125-56,56,5,10,53
20251121-LW-1879,08251125-LW,LW,5,10,1944
20251121-12-12691,08251125-12,12,5,10,53
20251121-17-17650,08251125-17,17,5,10,53
20251121-LW-1629,08251125-LW,LW,5,10,1944
20251121-12-12781,08251125-12,12,5,10,53
20251121-25-25652,08251125-25,25,5,10,81
20251121-41-41641,08251125-41,41,5,10,53
20251121-30-30070,08251125-30,30,5,10,81
20251121-47-47103,08251125-47,47,5,10,53
20251121-25-25090,08251125-25,25,5,10,81
20251121-47-47095,08251125-47,47,5,10,53
20251121-40-40060,08251125-40,40,5,10,53
20251121-66-66101,08251125-66,66,5,10,53
20251121-68-68101,08251125-68,68,5,10,53
20251121-40-40120,08251125-40,40,5,10,53
20251121-41-41151,08251125-41,41,5,10,53
20251121-GT-3210,08251125-GT,KI,5,10,1944
20251121-BR-6911,08251125-BR,BR,5,10,1944
20251121-40-40181,08251125-40,40,5,10,53
20251121-56-56201,08251125-56,56,5,10,53
20251121-GT-3960,08251125-GT,KI,5,10,1944
20251121-29-29240,08251125-29,29,5,10,81
20251121-MI-2726,08251125-MI,MI,5,10,1944
20251121-40-40160,08251125-40,40,5,10,53
20251121-66-66251,08251125-66,66,5,10,53
20251121-94-94670,08251125-94,94,5,10,53
20251121-21-21700,08251125-21,21,5,10,53
20251121-BR-6935,08251125-BR,BR,5,10,1944
20251121-MI-2720,08251125-MI,MI,5,10,1944
20251121-ST-7410,08251125-ST,ST,5,10,1944
20251121-27-27190,08251125-27,27,5,10,81
20251121-30-30130,08251125-30,30,5,10,81
20251121-56-56201,08251125-56,56,5,10,53
20251121-MI-2722,08251125-MI,MI,5,10,1944
20251121-48-48260,08251125-48,48,5,10,53
20251121-21-21294,08251125-21,21,5,10,81
20251121-61-61341,08251125-61,61,5,10,53
20251121-56-56331,08251125-56,56,5,10,53
20251121-MI-2710,08251125-MI,MI,5,10,1944
20251121-21-21111,08251125-21,21,5,10,81
20251121-56-56123,08251125-56,56,5,10,53
20251121-22-22220,08251125-22,22,5,10,53
20251121-40-40180,08251125-40,40,5,10,53
20251121-56-56111,08251125-56,56,5,10,53
20251121-GT-3806,08251125-GT,KI,5,10,1944
20251121-LE-9006,08251125-LE,LE,5,10,1944
20251121-56-56073,08251125-56,56,5,10,53
20251121-33-33202,08251125-33,33,5,10,53
20251121-92-92271,08251125-92,92,5,10,53
20251121-48-48260,08251125-48,48,5,10,53
20251121-41-41202,08251125-41,41,5,10,53
20251121-LE-9112,08251125-LE,LE,5,10,1944
20251121-33-33240,08251125-33,33,5,10,53
20251121-94-94251,08251125-94,94,5,10,53
20251121-LE-9312,08251125-LE,LE,5,10,1944
20251121-56-56061,08251125-56,56,5,10,53
20251121-66-66760,08251125-66,66,5,10,53
20251121-68-68101,08251125-68,68,5,10,53
20251121-56-56221,08251125-56,56,5,10,53
20251121-LW-1704,08251125-LW,LW,5,10,1944
20251121-BR-6327,08251125-BR,BR,5,10,1944
20251121-41-41190,08251125-41,41,5,10,81
20251121-GT-3960,08251125-GT,KI,5,10,1944
20251121-BR-6911,08251125-BR,BR,5,10,1944
20251121-56-56391,08251125-56,56,5,10,53
20251121-66-66140,08251125-66,66,5,10,53
20251121-BR-6314,08251125-BR,BR,5,10,1944
20251121-56-56665,08251125-56,56,5,10,53
20251121-66-66138,08251125-66,66,5,10,53
20251121-68-68713,08251125-68,68,5,10,53
20251121-25-25662,08251125-25,25,5,10,81
20251121-21-21700,08251125-21,21,5,10,81
20251121-BR-6325,08251125-BR,BR,5,10,1944
20251121-68-68761,08251125-68,68,5,10,53
20251121-30-30070,08251125-30,30,5,10,81
20251121-GT-3958,08251125-GT,KI,5,10,1944
20251121-ST-7410,08251125-ST,ST,5,10,1944
20251121-54-54241,08251125-54,54,5,10,53
20251121-25-25090,08251125-25,25,5,10,81
20251121-56-56171,08251125-56,56,5,10,53
20251121-41-41152,08251125-41,41,5,10,53
20251121-17-17120,08251125-17,17,5,10,81
20251121-GT-3960,08251125-GT,KI,5,10,1944
20251121-ST-7412,08251125-ST,ST,5,10,1944
20251121-30-30190,08251125-30,30,5,10,81
20251121-56-56201,08251125-56,56,5,10,53
20251121-67-67170,08251125-67,67,5,10,53
20251121-96-96191,08251125-96,96,5,10,53
20251121-RH-5006,08251125-RH,RH,5,10,1944
20251121-LE-9006,08251125-LE,LE,5,10,1944
20251121-RH-5323,08251125-RH,RH,5,10,1944
20251121-41-41050,08251125-41,41,5,10,53
20251121-96-96191,08251125-96,96,5,5,53
20251121-RH-5243,08251125-RH,RH,5,10,1944
20251121-56-56123,08251125-56,56,5,10,53
20251121-61-61280,08251125-61,61,5,10,53
20251121-56-56201,08251125-56,56,5,10,53
20251121-67-67481,08251125-67,67,5,10,53
20251121-65-65620,08251125-65,65,5,10,53
20251121-LE-9011,08251125-LE,LE,5,10,1944
20251121-ST-7711,08251125-ST,ST,5,10,1944
20251121-56-56601,08251125-56,56,5,10,53
20251121-37-37200,08251125-37,37,5,10,53
20251121-GT-3205,08251125-GT,KI,5,10,1944
20251121-57-56123,08251125-57,57,5,10,53
20251121-37-37210,08251125-37,37,5,10,53
20251121-33-33160,08251125-33,33,5,10,53
20251121-27-27190,08251125-27,27,5,10,53
20251121-96-96241,08251125-96,96,5,10,53
20251121-37-37220,08251125-37,37,5,10,53
20251121-41-41178,08251125-41,41,5,10,53
20251121-96-96281,08251125-96,96,5,10,53
20251121-37-37740,08251125-37,37,5,10,53
20251121-33-33742,08251125-33,33,5,10,53
20251121-94-94751,08251125-94,94,5,10,53
20251121-LE-9208,08251125-LE,LE,5,10,1944
20251121-56-56053,08251125-56,56,5,10,53
20251121-GT-3806,08251125-GT,KI,5,10,1944
20251121-LE-9006,08251125-LE,LE,5,10,1944
20251121-29-29130,08251125-29,29,5,10,81
20251121-MI-2710,08251125-MI,MI,5,10,1944
20251121-LE-9206,08251125-LE,LE,5,10,1944
20251121-41-41062,08251125-41,41,5,10,53
20251121-LE-9211,08251125-LE,LE,5,10,1944
20251121-21-21111,08251125-21,21,5,10,81
20251121-MI-2718,08251125-MI,MI,5,10,1944
20251121-LE-9208,08251125-LE,LE,5,10,1944
20251121-56-56050,08251125-56,56,5,10,53
20251121-LW-1710,08251125-LW,LW,5,10,1944
20251121-LE-9310,08251125-LE,LE,5,10,1944
20251121-21-21240,08251125-21,21,5,10,81
20251121-LE-9312,08251125-LE,LE,5,10,1944
20251121-17-17120,08251125-17,17,5,10,53
20251121-LW-1858,08251125-LW,LW,5,10,1944
20251121-BR-6313,08251125-BR,BR,5,10,1944
20251121-GT-3860,08251125-GT,KI,5,10,1944
20251121-BR-6911,08251125-BR,BR,5,10,1944
20251121-30-30130,08251125-30,30,5,10,81
20251121-GT-3960,08251125-GT,KI,5,10,1944
20251121-BR-6315,08251125-BR,BR,5,10,1944
20251121-25-25210,08251125-25,25,5,10,81
20251121-41-41242,08251125-41,41,5,10,53
20251121-GT-3514,08251125-GT,KI,5,10,1944
20251121-BR-6315,08251125-BR,BR,5,10,1944
20251121-25-25260,08251125-25,25,5,10,81
20251121-41-41290,08251125-41,41,5,10,53
20251121-GT-3516,08251125-GT,KI,5,10,1944
20251121-BR-6317,08251125-BR,BR,5,10,1944
