trip_id,route_id,route_short_name,max_advance_min,max_delay_min
20251121-56-56053,08251125-56,56,5,10
20251121-GT-3806,08251125-GT,KI,5,10
20251121-LE-9006,08251125-LE,LE,5,10
20251121-29-29130,08251125-29,29,5,10
20251121-MI-2710,08251125-MI,MI,5,10
20251121-LE-9206,08251125-LE,LE,5,10
20251121-BR-6911,08251125-BR,BR,5,10
20251121-41-41062,08251125-41,41,5,10
20251121-LE-9211,08251125-LE,LE,5,10
20251121-21-21111,08251125-21,21,5,10
20251121-MI-2718,08251125-MI,MI,5,10
20251121-LE-9208,08251125-LE,LE,5,10
20251121-56-56050,08251125-56,56,5,10
20251121-LW-1710,08251125-LW,LW,5,10
20251121-LE-9310,08251125-LE,LE,5,10
20251121-21-21240,08251125-21,21,5,10
20251121-LE-9312,08251125-LE,LE,5,10
