Arr_Trip,Dep_Trip,Hub,Status,Orig_Wait,New_Wait,Arr_Shift,Dep_Shift,Passengers
20251121-25-25090,20251121-47-47095,Erin Mills,KEPT,5,5.0,10.0,10.0,47
20251121-47-47095,20251121-12-12241,Dundas/Hwy 407,KEPT,19,5.0,10.0,-4.0,33
20251121-30-30130,20251121-GT-3860,Kitchener GO,KEPT,12,10.0,10.0,8.0,69
20251121-GT-3860,20251121-LW-1711,UN,KEPT,30,17.0,8.0,-5.0,54
20251121-LW-1711,20251121-12-12313,Burlington,MISSED,60,0.0,-5.0,-5.0,39
20251121-17-17180,20251121-LW-1961,Aldershot,MISSED,102,0.0,10.0,-5.0,19
20251121-17-17180,20251121-41-41290,McMaster University,KEPT,14,5.0,10.0,1.0,44
20251121-41-41290,20251121-12-12311,Dundas/Hwy 407,KEPT,6,5.0,1.0,0.0,29
20251121-17-17230,20251121-LW-1016,Aldershot,KEPT,21,10.0,10.0,-1.0,43
20251121-LW-1016,20251121-12-12361,Burlington,KEPT,45,41.0,-1.0,-5.0,33
20251121-25-25532,20251121-56-56470,Square One,KEPT,5,5.0,10.0,10.0,40
20251121-56-56470,20251121-LW-1879,Oakville,KEPT,8,5.0,10.0,7.0,35
20251121-LW-1879,20251121-12-12691,Burlington,MISSED,121,0.0,7.0,-5.0,29
20251121-17-17650,20251121-LW-1629,Aldershot,KEPT,21,10.0,10.0,-1.0,42
20251121-LW-1629,20251121-12-12781,Confederation,MISSED,49,0.0,-1.0,-5.0,29
20251121-25-25652,20251121-41-41641,Square One,KEPT,15,5.0,10.0,0.0,31
20251121-41-41641,20251121-12-12781,Dundas/Hwy 407,KEPT,18,13.0,0.0,-5.0,29
20251121-30-30070,20251121-47-47103,Bramalea GO Bus Terminal,MISSED,6,0.0,10.0,0.0,72
20251121-25-25090,20251121-47-47095,Erin Mills Transitway Station,MISSED,5,0.0,10.0,10.0,54
20251121-40-40060,20251121-66-66101,Hwy 407,KEPT,5,5.0,10.0,10.0,28
20251121-66-66101,20251121-68-68101,Green Lane E. @Yonge St,KEPT,42,27.0,10.0,-5.0,28
20251121-40-40120,20251121-41-41151,Hwy 407,KEPT,10,5.0,10.0,5.0,21
20251121-41-41151,20251121-GT-3210,Bramalea,KEPT,9,8.0,5.0,4.0,21
20251121-GT-3210,20251121-BR-6911,UN,KEPT,19,10.0,4.0,-5.0,21
20251121-40-40181,20251121-56-56201,Square One,KEPT,7,5.0,0.0,-2.0,23
20251121-56-56201,20251121-GT-3960,Bramalea,KEPT,8,7.0,-2.0,-3.0,23
20251121-GT-3960,20251121-BR-6911,UN,KEPT,7,5.0,-3.0,-5.0,23
20251121-40-40160,20251121-29-29240,Renforth Transitway Station,KEPT,20,5.0,10.0,-5.0,22
20251121-29-29240,20251121-MI-2726,Kipling,KEPT,12,12.0,-5.0,-5.0,22
20251121-MI-2726,20251121-BR-6911,UN,KEPT,21,21.0,-5.0,-5.0,22
20251121-94-94670,20251121-21-21700,Square One,MISSED,14,0.0,10.0,8.0,19
20251121-21-21700,20251121-BR-6935,UN,KEPT,41,28.0,8.0,-5.0,19
20251121-MI-2720,20251121-ST-7410,UN,KEPT,12,10.0,-3.0,-5.0,139
20251121-27-27190,20251121-30-30130,Mississauga Rd. @ Royal Bank,KEPT,28,28.0,10.0,10.0,33
20251121-30-30130,20251121-56-56201,HWY 407,KEPT,31,19.0,10.0,-2.0,27
20251121-MI-2722,20251121-48-48260,Meadowvale Go,KEPT,13,5.0,10.0,2.0,45
20251121-48-48260,20251121-56-56201,HWY 407,MISSED,12,0.0,2.0,-2.0,37
20251121-21-21294,20251121-61-61341,Union Station,KEPT,10,5.0,10.0,5.0,42
20251121-61-61341,20251121-56-56331,yonge St. @ Garden Ave,KEPT,22,12.0,5.0,-5.0,29
20251121-MI-2710,20251121-21-21111,Cooksville Go,KEPT,11,10.0,5.0,4.0,44
20251121-21-21111,20251121-56-56123,Square One,KEPT,13,5.0,4.0,-4.0,31
